,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,0.0,0.0,0.00018893634009416557,0.00011009056584483862,1.38392135044959e-05,1.710727256521898e-06,1.710727256521898e-06,1.6276537974151187e-08,0.0002967541178055392,9.155787306795022e-05,9.155787306795022e-05,2.8259710818043584e-05,5.785388474607121e-05,8.00013178820578e-06,8.00013178820578e-06,2.506991197759284e-06,2.506991197759284e-06,2.506991197759284e-06,2.506991197759284e-06,2.2880003588282118e-08,2.2880003588282118e-08,1.8252382722395621e-06,1.8252382722395621e-06,1.8252382722395621e-06,1.8252382722395621e-06,1.8252382722395621e-06,1.8252382722395621e-06,1.8252382722395621e-06,1.8252382722395621e-06,1.8252382722395621e-06,2.1918200619297256e-07,2.1918200619297256e-07,6.336828933404472e-07,2.025424094012308e-07,1.6094573853038428e-07,1.6094573853038428e-07,2.632365856867062e-08,8.515411902105098e-10,8.515411902105098e-10,1.1081188543343739e-08,3.736574293051115e-09,4.924309093220175e-10,2.8956664872270615e-09,2.8956664872270615e-09,2.8956664872270615e-09,2.8956664872270615e-09,2.8956664872270615e-09,2.8956664872270615e-09,2.8956664872270615e-09,2.8956664872270615e-09,5.844182528376535e-09,5.5083583152865075e-09,5.5083583152865075e-09,5.5083583152865075e-09,5.5083583152865075e-09,7.24104930878189e-09,7.24104930878189e-09,7.24104930878189e-09,7.24104930878189e-09,2.148247067243537e-10,2.148247067243537e-10,2.148247067243537e-10,9.419560043659985e-10,1.2938447825761413e-09,1.2826372150042322e-09,1.2826372150042322e-09,1.2756552741550502e-09,1.2756552741550502e-09,1.8891730559188972e-09,3.374535443653384e-11,3.374535443653384e-11,3.374535443653384e-11,3.374535443653384e-11,3.374535443653384e-11,3.374535443653384e-11,6.723169507591807e-12,6.723169507591807e-12,7.051707635668108e-11,1.7910076150467302e-11,2.1422914826080839e-10,2.1422914826080839e-10
1,0.0,0.0,0.0056100601265100854,0.0056100601265100854,0.00038965153369868163,0.00038965153369868163,0.00038965153369868163,0.0008175519857051876,0.0006338158821669688,0.0006338158821669688,3.4659937465935777e-06,7.928042143983171e-05,7.928042143983171e-05,7.928042143983171e-05,0.0003997085138621275,0.0003997085138621275,4.794696992357431e-06,4.794696992357431e-06,4.794696992357431e-06,4.794696992357431e-06,2.7566404825794438e-05,2.7566404825794438e-05,7.937044742965967e-06,7.937044742965967e-06,5.0006449632227415e-06,5.0006449632227415e-06,3.879002949075723e-06,3.879002949075723e-06,3.478907092336094e-06,3.478907092336094e-06,1.5975597110865722e-09,1.5975597110865722e-09,1.5975597110865722e-09,7.921113630588917e-09,9.146695171834637e-07,1.0540765744248863e-06,1.4130791259823848e-08,8.544478811490647e-08,6.645155525083535e-08,2.810142967111271e-10,2.810142967111271e-10,2.810142967111271e-10,2.6590125433720345e-09,2.6590125433720345e-09,2.6590125433720345e-09,1.442758908590402e-10,1.442758908590402e-10,3.512515460677109e-10,3.512515460677109e-10,8.998384014176576e-10,2.444381851104547e-09,9.39835922474162e-10,2.981857101825786e-10,4.903604704006454e-12,4.903604704006454e-12,2.861630670684814e-10,1.0858278436857325e-11,1.0858278436857325e-11,4.927907911088069e-09,1.469723892433289e-09,1.6198851789804057e-09,1.1538354607819025e-09,1.1169731655723247e-10,1.1169731655723247e-10,1.1169731655723247e-10,2.995492722133943e-10,2.4201898788828524e-10,1.1011565451346143e-11,1.1011565451346143e-11,1.7895065047261635e-11,1.7895065047261635e-11,1.7895065047261635e-11,1.7895065047261635e-11,1.2243285589371978e-10,1.2243285589371978e-10,1.466244263711695e-11,5.931827335983941e-13,5.931827335983941e-13,5.931827335983941e-13,5.931827335983941e-13,5.931827335983941e-13
2,4.930380657631324e-32,4.930380657631324e-32,0.00024906780380741815,0.00024906780380741815,0.00024906780380741815,0.00024906780380741815,3.008896421308938e-06,3.008896421308938e-06,3.008896421308938e-06,3.008896421308938e-06,4.076847495006629e-10,4.076847495006629e-10,4.076847495006629e-10,4.076847495006629e-10,4.076847495006629e-10,1.7105050370963032e-07,1.7105050370963032e-07,1.0796719489231066e-06,1.0796719489231066e-06,1.8506008704584205e-05,3.5632084423924765e-06,3.5632084423924765e-06,3.5632084423924765e-06,3.5632084423924765e-06,3.1482236423020334e-07,3.1482236423020334e-07,3.1482236423020334e-07,3.1482236423020334e-07,3.1482236423020334e-07,3.1482236423020334e-07,1.9972881002549895e-07,1.9972881002549895e-07,3.7607144521068135e-07,5.245902563094064e-07,5.245902563094064e-07,5.245902563094064e-07,5.245902563094064e-07,3.8607205442133224e-09,1.6814421699528048e-07,1.6814421699528048e-07,1.6814421699528048e-07,1.6814421699528048e-07,1.6814421699528048e-07,4.104471673333759e-08,4.104471673333759e-08,4.104471673333759e-08,4.104471673333759e-08,4.265140652287278e-08,4.265140652287278e-08,3.001545799000882e-09,3.001545799000882e-09,3.001545799000882e-09,3.001545799000882e-09,3.001545799000882e-09,3.001545799000882e-09,3.001545799000882e-09,3.001545799000882e-09,3.11618525969124e-10,2.049053621478283e-09,2.049053621478283e-09,2.049053621478283e-09,2.049053621478283e-09,2.049053621478283e-09,2.049053621478283e-09,2.049053621478283e-09,2.049053621478283e-09,3.752289529410598e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09,2.8847359553377262e-09
3,0.0,2.176536470870432e-06,2.176536470870432e-06,2.176536470870432e-06,2.176536470870432e-06,2.176536470870432e-06,2.6931799050474303e-05,0.00032434561327733297,9.1217597256908e-05,5.3600449819708596e-05,5.3600449819708596e-05,4.940216280702939e-05,4.695399796215038e-07,1.46835886573123e-05,1.46835886573123e-05,1.46835886573123e-05,1.46835886573123e-05,1.46835886573123e-05,1.5617512922733927e-07,2.146690140872126e-06,2.8312757322484402e-06,2.8312757322484402e-06,1.0563140180593504e-08,1.0563140180593504e-08,1.0563140180593504e-08,4.117124783129689e-09,4.117124783129689e-09,4.117124783129689e-09,4.117124783129689e-09,1.0954378286652058e-08,1.0954378286652058e-08,1.0954378286652058e-08,1.0954378286652058e-08,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,5.363783462230536e-10,1.060969637440614e-10,1.060969637440614e-10,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,5.910119059213273e-11,4.14009089763041e-11,4.14009089763041e-11,4.14009089763041e-11,4.14009089763041e-11,4.14009089763041e-11,3.7063072045379453e-11,3.7063072045379453e-11,3.038743990988388e-11,2.8866631810524588e-11,2.8866631810524588e-11,7.946347825468646e-12,7.946347825468646e-12,7.946347825468646e-12
4,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,1.232595164407831e-32,0.00030169853347800687,0.00030169853347800687,0.00030169853347800687,0.00030169853347800687,7.294511535819254e-05,6.553905855177971e-05,6.553905855177971e-05,6.553905855177971e-05,7.193077584032754e-07,0.00015120715317789096,5.7906104491816015e-05,2.2789100036690996e-05,1.0681085336064405e-05,5.5414106649648744e-06,5.5414106649648744e-06,5.173755363915078e-06,1.0656479064495315e-06,1.0656479064495315e-06,1.0656479064495315e-06,1.0656479064495315e-06,1.0656479064495315e-06,1.0656479064495315e-06,1.0656479064495315e-06,1.0656479064495315e-06,1.0656479064495315e-06,5.883369111314527e-12,1.9554062096744637e-07,1.9554062096744637e-07,1.9554062096744637e-07,1.9554062096744637e-07,5.883369111314527e-12,5.883369111314527e-12,2.993813699716021e-07,2.993813699716021e-07,2.993813699716021e-07,2.993813699716021e-07,7.791175848747388e-08,7.791175848747388e-08,7.791175848747388e-08,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,4.6308554599278854e-10,2.191613785460242e-09,2.191613785460242e-09,2.191613785460242e-09,2.191613785460242e-09,2.191613785460242e-09,9.636464297786294e-10,9.636464297786294e-10,3.5080737531468023e-10,3.5080737531468023e-10,3.043399782244397e-10,3.043399782244397e-10,3.043399782244397e-10,3.043399782244397e-10,3.043399782244397e-10,3.043399782244397e-10,3.043399782244397e-10,3.043399782244397e-10
5,1.232595164407831e-32,0.0003410243482992602,0.0003410243482992602,0.0003410243482992602,0.0003410243482992602,0.0003410243482992602,0.0002731846682702901,0.0002731846682702901,0.00012459051214883134,8.199364008018361e-05,8.199364008018361e-05,2.9001147390196035e-05,2.9001147390196035e-05,3.7622957365481863e-06,3.7622957365481863e-06,3.7622957365481863e-06,3.7622957365481863e-06,3.7622957365481863e-06,4.0272204521119014e-07,4.0272204521119014e-07,2.6742400824052405e-08,2.1823352178109134e-08,2.1823352178109134e-08,2.2005385978510115e-06,2.643376381411048e-06,1.9144038273616852e-05,1.9144038273616852e-05,1.9144038273616852e-05,7.224929505847871e-07,7.224929505847871e-07,7.224929505847871e-07,7.224929505847871e-07,7.224929505847871e-07,7.224929505847871e-07,7.224929505847871e-07,7.224929505847871e-07,1.638306594267618e-08,1.638306594267618e-08,1.638306594267618e-08,1.638306594267618e-08,1.638306594267618e-08,6.708826070295231e-09,1.0476605508080328e-07,1.0476605508080328e-07,1.0476605508080328e-07,1.0476605508080328e-07,9.43671065511319e-08,2.372386762073115e-08,2.372386762073115e-08,7.0180318301653295e-09,7.0180318301653295e-09,7.0180318301653295e-09,7.0180318301653295e-09,3.2444860387040665e-07,3.2444860387040665e-07,3.2444860387040665e-07,3.2444860387040665e-07,3.2444860387040665e-07,3.2444860387040665e-07,3.2444860387040665e-07,2.3521232180785794e-07,2.3521232180785794e-07,2.3521232180785794e-07,2.3521232180785794e-07,2.3521232180785794e-07,2.3521232180785794e-07,1.1788392048596155e-08,1.1788392048596155e-08,1.1788392048596155e-08,1.1788392048596155e-08,1.1788392048596155e-08,1.1788392048596155e-08,1.1788392048596155e-08,1.1788392048596155e-08,1.1788392048596155e-08,1.1788392048596155e-08,6.234787753923073e-08,6.234787753923073e-08,6.234787753923073e-08,6.234787753923073e-08,6.234787753923073e-08
6,0.0,0.0,0.004955931318073229,0.003183582125575023,1.901000847287795e-07,1.901000847287795e-07,0.00010434316628091466,0.00010434316628091466,0.00010434316628091466,0.0004484463512757908,0.0004484463512757908,0.00041580294009129165,7.27073415429454e-05,9.86073755482186e-05,9.86073755482186e-05,1.933547901564975e-05,1.933547901564975e-05,1.933547901564975e-05,1.933547901564975e-05,1.933547901564975e-05,1.933547901564975e-05,3.777726378345755e-05,3.777726378345755e-05,6.752796925661337e-05,7.377857754192315e-06,7.377857754192315e-06,1.9068317137018155e-08,1.9068317137018155e-08,1.9068317137018155e-08,1.9068317137018155e-08,1.9068317137018155e-08,1.9068317137018155e-08,1.9068317137018155e-08,1.9068317137018155e-08,1.9068317137018155e-08,1.9068317137018155e-08,1.9068317137018155e-08,2.469573448082932e-08,2.469573448082932e-08,2.469573448082932e-08,9.506354241153189e-07,9.506354241153189e-07,9.506354241153189e-07,9.506354241153189e-07,9.506354241153189e-07,9.506354241153189e-07,9.506354241153189e-07,7.212524790429192e-07,7.057589135101543e-08,7.057589135101543e-08,7.057589135101543e-08,7.057589135101543e-08,7.057589135101543e-08,7.057589135101543e-08,1.2650012483381516e-07,1.2650012483381516e-07,1.2650012483381516e-07,2.926412073959904e-08,2.926412073959904e-08,2.926412073959904e-08,2.926412073959904e-08,8.643424070958168e-09,8.643424070958168e-09,8.643424070958168e-09,8.643424070958168e-09,9.661874669541711e-10,9.661874669541711e-10,9.661874669541711e-10,9.661874669541711e-10,9.661874669541711e-10,5.240397953293178e-10,8.936808536956405e-10,8.936808536956405e-10,8.936808536956405e-10,8.73862794570099e-10,8.73862794570099e-10,8.73862794570099e-10,8.73862794570099e-10,8.650162297144977e-10,8.650162297144977e-10,8.650162297144977e-10
7,0.0,0.0,0.0,0.0,9.455387500698195e-05,0.00010644611979777479,0.00010644611979777479,6.601298095999419e-05,6.601298095999419e-05,2.630950336822119e-05,8.937692527627589e-05,6.888025181493894e-05,6.888025181493894e-05,4.356402656603482e-05,3.682505187635373e-05,1.4419723779142677e-05,1.4419723779142677e-05,7.741239677140466e-06,7.741239677140466e-06,3.09414532758467e-06,2.3767362298628037e-07,2.3767362298628037e-07,2.3767362298628037e-07,2.3767362298628037e-07,1.0017922978335337e-08,1.0017922978335337e-08,4.868822812173856e-08,4.868822812173856e-08,4.868822812173856e-08,4.868822812173856e-08,4.868822812173856e-08,4.868822812173856e-08,4.868822812173856e-08,4.868822812173856e-08,4.868822812173856e-08,8.006672882571222e-09,8.006672882571222e-09,1.5574985143789982e-09,1.5574985143789982e-09,1.5574985143789982e-09,1.8655672163000605e-08,1.9010939587121037e-08,1.1118018181896386e-09,1.1118018181896386e-09,1.1118018181896386e-09,1.1118018181896386e-09,1.1118018181896386e-09,1.1118018181896386e-09,1.1118018181896386e-09,1.1118018181896386e-09,4.6229612179009276e-08,4.6229612179009276e-08,4.6229612179009276e-08,4.6229612179009276e-08,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,1.6269455088677475e-10,2.711472334878602e-09,2.711472334878602e-09,2.711472334878602e-09,2.711472334878602e-09
8,0.0,0.001992816465684511,0.0007534099188098471,0.00010188563019335147,0.00010188563019335147,0.00010188563019335147,0.00010188563019335147,0.0007889212701110966,3.0300557505612514e-05,3.0300557505612514e-05,3.0300557505612514e-05,3.0300557505612514e-05,3.0300557505612514e-05,3.0300557505612514e-05,1.2112330316731428e-05,1.2112330316731428e-05,1.7298569945031318e-05,1.5479288195843223e-05,1.7298569945031318e-05,1.1538742382903663e-06,1.1538742382903663e-06,2.056306326492065e-06,2.056306326492065e-06,2.056306326492065e-06,1.8243215447656156e-06,3.0342588830136413e-07,6.118110026883143e-09,1.7570446589909042e-09,7.314101294723572e-09,1.5020238638654169e-13,1.5103992907142517e-09,1.5103992907142517e-09,1.5103992907142517e-09,1.5103992907142517e-09,1.958990437002458e-08,2.5401017974946576e-07,2.5401017974946576e-07,2.089491257939868e-07,4.5035115209707834e-07,3.370559191553192e-07,7.019662580986611e-07,3.528621723390647e-08,5.19278292823594e-10,1.6169166486724793e-08,5.596194600658114e-07,1.8346084317991757e-07,3.7054830474398427e-10,3.7054830474398427e-10,6.163255185619903e-08,6.163255185619903e-08,2.1770630564852292e-09,2.1770630564852292e-09,2.1770630564852292e-09,2.1770630564852292e-09,2.1770630564852292e-09,2.476438066087265e-09,1.020564176902285e-09,3.657940210431019e-11,3.657940210431019e-11,4.450619540151501e-11,4.450619540151501e-11,4.450619540151501e-11,1.0878452855150463e-10,1.0878452855150463e-10,1.0878452855150463e-10,1.0878452855150463e-10,3.2273078182090563e-09,2.312251406509151e-11,2.312251406509151e-11,2.312251406509151e-11,2.505503524082289e-13,1.933890365599079e-11,1.933890365599079e-11,3.5945121460655557e-13,7.68744127660661e-12,7.68744127660661e-12,7.68744127660661e-12,7.68744127660661e-12,4.944517346389886e-11,1.4945363453654358e-13,1.7533694845778663e-11
9,0.0,0.0,3.6082701657793985e-05,3.6082701657793985e-05,7.866294030674071e-05,2.5998698194749344e-05,2.5998698194749344e-05,0.0001408498090389817,5.1665765104677646e-05,5.1665765104677646e-05,1.106800341547583e-05,1.106800341547583e-05,1.5235179156847542e-05,4.2643392841927545e-05,4.2643392841927545e-05,4.2643392841927545e-05,4.1338148198148804e-05,4.1338148198148804e-05,3.905312751713207e-05,3.0760992749954206e-06,3.0760992749954206e-06,3.0760992749954206e-06,3.0760992749954206e-06,3.0760992749954206e-06,3.0760992749954206e-06,2.3406669224076784e-07,2.3406669224076784e-07,2.7004570107217167e-08,2.7004570107217167e-08,2.7004570107217167e-08,2.7004570107217167e-08,1.226059851729418e-10,3.522871115679857e-07,3.522871115679857e-07,2.0495106905194247e-07,1.4989075311617137e-07,1.4989075311617137e-07,2.3406669224076784e-07,4.959895937165792e-07,3.9675552431733817e-07,3.67936892011336e-07,2.5757137481061027e-07,1.5337120021014277e-08,1.5337120021014277e-08,1.5337120021014277e-08,2.227312055897486e-08,1.6665492129219755e-08,1.6665492129219755e-08,1.6665492129219755e-08,1.6665492129219755e-08,7.253632992583998e-10,7.253632992583998e-10,7.253632992583998e-10,2.2295018287797894e-10,7.202155642265884e-10,2.9353685334390653e-09,2.9353685334390653e-09,6.308688191305604e-11,6.308688191305604e-11,1.5337710911333781e-09,1.5337710911333781e-09,1.5337710911333781e-09,8.073696377417116e-09,1.4651853143922483e-10,1.4651853143922483e-10,4.5249162992172894e-10,4.5249162992172894e-10,4.5249162992172894e-10,4.5249162992172894e-10,4.5249162992172894e-10,2.0845052983909476e-14,2.0845052983909476e-14,2.0845052983909476e-14,2.0845052983909476e-14,2.0845052983909476e-14,1.5452271274009208e-10,1.5452271274009208e-10,1.5452271274009208e-10,1.5704196706402672e-09,1.5704196706402672e-09,1.5704196706402672e-09
